model,MAE,RMSE,WAPE_pct,mean_fold_MASE_s7,mean_fit_seconds,mean_predict_seconds,worst_fold_WAPE_pct,WAPE_improvement_vs_baseline_pct
Seasonal Naive,216.12857142857143,365.0681541066779,26.130436284500327,2.348016346834546,1.750799947330961e-06,0.0005073293999885209,72.95611494764981,0.0
LightGBM,231.8381510422885,367.5374560995615,28.029760221355133,2.5103954176625107,0.2846589557999778,0.2504196559999855,73.95259510127578,-7.26862696120163
Holt-Winters,232.4742798518342,392.92717173960705,28.10666964252374,2.522767079173163,0.04204326819990456,0.011170714599984422,81.36824164101216,-7.562955843931496
