stage,fold,train_start,train_end,test_start,test_end,train_n,test_n
selection,1,2023-01-01,2025-01-29,2025-01-30,2025-02-26,760,28
selection,2,2023-01-01,2025-02-26,2025-02-27,2025-03-26,788,28
selection,3,2023-01-01,2025-03-26,2025-03-27,2025-04-23,816,28
selection,4,2023-01-01,2025-04-23,2025-04-24,2025-05-21,844,28
selection,5,2023-01-01,2025-05-21,2025-05-22,2025-06-18,872,28
