stage,fold,model,train_n,MAE,RMSE,WAPE_pct,MASE_s7,fit_seconds,predict_seconds,warning_count
selection,1,Seasonal Naive,760,83.75,140.67503078270246,10.109065827477691,0.9731159151930376,2.291000100740348e-06,0.0005346639998151659,0
selection,1,Holt-Winters,760,97.46771683855671,154.89984864617318,11.764866454625976,1.1325061071418265,0.030575657999861505,0.009188558000005287,0
selection,1,LightGBM,760,87.94711902259375,147.3440023215173,10.615680185509442,1.0218834772091026,0.2737784079999983,0.22759254899983716,0
selection,2,Seasonal Naive,788,337.25,515.1635315952734,30.436744560838033,3.874726010268179,1.5339999208663357e-06,0.00044466500003181864,0
selection,2,Holt-Winters,788,339.1333535466068,531.9457679955838,30.60671683901689,3.8963641984774253,0.03359949199989387,0.00922677400012617,0
selection,2,LightGBM,788,333.8081771447429,501.24691377425603,30.126120741507822,3.8351822873919743,0.29483078299995213,0.24357708299999103,0
selection,3,Seasonal Naive,816,584.8214285714286,613.5280002924537,72.95611494764981,6.124616962216802,1.3309997939359164e-06,0.0004657520000819204,0
selection,3,Holt-Winters,816,652.2536370116135,678.4384527423904,81.36824164101216,6.830809361187787,0.0481341039999279,0.00945566899986261,0
selection,3,LightGBM,816,592.8092846600482,621.9988284837584,73.95259510127578,6.208270803375824,0.3358853110000837,0.27762628899995434,0
selection,4,Seasonal Naive,844,38.17857142857143,50.760291004456846,5.275625524354735,0.38812461935936127,1.7249999473278876e-06,0.0005484599998908379,0
selection,4,Holt-Winters,844,37.939282530837595,48.943337788417615,5.242559891740871,0.3856920005139017,0.03830733999984659,0.010663094999927125,0
selection,4,LightGBM,844,58.77990819157102,77.65110592762326,8.122377877727823,0.5975584899899791,0.22412056099983602,0.24567565799998192,0
selection,5,Seasonal Naive,872,36.642857142857146,46.87902363683418,5.438354712180643,0.3794982271353484,1.8729999737843173e-06,0.0005431060001228616,0
selection,5,Holt-Winters,872,35.57740933155639,48.21165610155677,5.28022612786801,0.3684637285448723,0.05959974699999293,0.017319477000000916,0
selection,5,LightGBM,872,85.84626619248662,97.71360041158509,12.74088547328329,0.8890820303456728,0.29467971600001874,0.25762670100016294,0
