stage,fold,model,train_n,MAE,RMSE,WAPE_pct,MASE_s7,fit_seconds,predict_seconds,warning_count
calibration,1,Seasonal Naive,900,75.64285714285714,117.42170643819286,10.58576569372251,0.7985278918641411,1.4679999367217533e-06,0.0006324799999219977,0
calibration,1,Holt-Winters,900,84.43097775243086,134.5006459423655,11.815610641083888,0.8913001599787304,0.028128035000008822,0.012545165000119596,0
calibration,1,LightGBM,900,80.06436058353366,124.10064125602234,11.204528670226619,0.8452037308622039,0.2983472369999163,0.25393643899997187,0
calibration,2,Seasonal Naive,928,54.964285714285715,76.13076156943957,8.138981437410758,0.5758597966357303,1.6190001588256564e-06,0.0009979260000818613,0
calibration,2,Holt-Winters,928,44.848968628783446,58.89973734158902,6.641129206229502,0.46988180812801655,0.08285308700010319,0.011263458000030369,0
calibration,2,LightGBM,928,47.72814053317433,69.918598272541,7.067470172557413,0.5000468384890118,0.2715006779999385,0.23864339300007487,0
calibration,3,Seasonal Naive,956,95.25,124.55936622464692,15.386834362199274,1.0082794199665366,1.6930000583670335e-06,0.000492949000090448,0
calibration,3,Holt-Winters,956,59.600536744442984,69.2151942279672,9.6279641657209,0.6309080799830049,0.07420849000004637,0.019207752000056644,0
calibration,3,LightGBM,956,89.73123847842577,113.28012525230233,14.495324971995162,0.9498599589071506,0.2930387559999872,0.26450436999994054,0
calibration,4,Seasonal Naive,984,48.285714285714285,59.049615941656576,8.5928562349053,0.5171975799189025,1.677999989624368e-06,0.0005346210000425344,0
calibration,4,Holt-Winters,984,36.37742373306197,48.786211226385134,6.4736739832575,0.38964558765967067,0.07748045799985448,0.019312097000010908,0
calibration,4,LightGBM,984,32.98150687454209,44.53443293694588,5.8693415055750515,0.353271268530008,0.2963149459999386,0.22659331900013058,0
calibration,5,Seasonal Naive,1012,30.357142857142858,36.55133376499413,5.750236774455419,0.32984408423621353,1.7570000636624172e-06,0.0005429190000540984,0
calibration,5,Holt-Winters,1012,39.61889180391334,46.18824044963202,7.504593224932848,0.4304771745816845,0.03671768599997449,0.011497090999910142,0
calibration,5,LightGBM,1012,24.44552194073348,30.359132155426668,4.6304601159554695,0.26561164982363533,0.24549001100012902,0.3035160110000561,0
calibration,6,Seasonal Naive,1040,43.285714285714285,52.263754170553035,7.691331387231882,0.47784283042631964,1.6490000689373119e-06,0.0005640459999085579,0
calibration,6,Holt-Winters,1040,66.14954872848662,74.25041947745291,11.753949513882635,0.7302429477587676,0.046906397999919136,0.02039588200000253,0
calibration,6,LightGBM,1040,27.793283901382754,36.96969751112461,4.938519794635849,0.30681765717476234,0.28427452699997957,0.22690023599989217,0
